It's Complicated,Matt Bryant,K,Dropped
It's Complicated,Taylor Gabriel,WR,Won at $10
Peacocks,Derrick Henry,RB,Dropped
Peacocks,Ito Smith,RB,Won at $11
SKEET BALL,Ndamukong Suh,DL,Won at $11
SKEET BALL,Antonio Callaway,WR,Dropped
SKEET BALL,Brandon Marshall,WR,Dropped
2 Gurleys 1 Kupp,Jay Ajayi,RB,Dropped
2 Gurleys 1 Kupp,Jake Elliott,K,Dropped
It's Complicated,Dez Bryant,WR,Dropped
It's Complicated,Mason Foster,LB,Won at $0
Odell Beckham Jesus,Ndamukong Suh,DL,Dropped
Odell Beckham Jesus,Marlon Mack,RB,Won at $0
Team Suzy,Keke Coutee,WR,Dropped
Team Suzy,Greg Olsen,TE,Won at $0
2017 Cleveland Browns,Lorenzo Alexander,LB,Dropped
2017 Cleveland Browns,Denzel Perryman,LB,Won at $0
Team Suzy,Kenny Stills,WR,Dropped
Team Suzy,Ronald Jones,RB,Won at $0
2017 Cleveland Browns,Bud Dupree,LB,Dropped
2017 Cleveland Browns,Alfred Blue,RB,Won at $0
Peacocks,Deone Bucannon,LB,Dropped
Peacocks,Josh Bynes,LB,Won at $1
Peacocks,Nick Chubb,RB,Dropped
Peacocks,Mario Addison,DL,Won at $1
Team Suzy,Nelson Agholor,WR,Dropped
Team Suzy,Jaylon Smith,LB,Won at $0
Team Suzy,Takkarist McKinley,DL,Dropped
Team Suzy,Jessie Bates,DB,Won at $0
SKEET BALL,Chris Hogan,WR,Dropped
SKEET BALL,Mohamed Sanu,WR,Won at $1
FUCK YOU LEVEON JUST PLAY,Wil Lutz,K,Dropped
FUCK YOU LEVEON JUST PLAY,Ka'imi Fairbairn,K,Won at $0
Garropoyolo,Trey Flowers,DL,Dropped
Garropoyolo,Leonard Williams,DL,Won at $0
Team Suzy,Rhett Ellison,TE,Dropped
Team Suzy,Keke Coutee,WR,Won at $0
2 Gurleys 1 Kupp,Quincy Enunwa,WR,Dropped
2 Gurleys 1 Kupp,Jake Elliott,K,Won at $0
